Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Labels
2.09870825,0.3094768985,-0.04930986196,-0.7551532835,0.8175964131,freestyle
2.10874625,0.2596983822,-0.03528626539,-0.7654946691,0.8091170859,freestyle
2.11878325,0.2014654499,-0.1064998703,-0.7052186465,0.7411233968,freestyle
2.12882025,0.2022681995,-0.02691539146,-0.6344825399,0.6664870263,freestyle
2.13885825,0.1172654714,0.02912527353,-0.5741591549,0.5867352107,freestyle
2.14889525,-0.02976846725,0.07331918724,-0.4355321968,0.4426625795,freestyle
2.15893225,-0.1486981293,0.1276289302,-0.2682930583,0.3322370277,freestyle
2.16897025,-0.2463831027,0.1329705079,-0.2161236155,0.3536880072,freestyle
2.17900725,-0.2715981969,0.1605839107,-0.1446273708,0.3470876681,freestyle
2.18904525,-0.2353304033,0.1940826823,-0.08833973408,0.3175726608,freestyle
2.19908225,-0.1669319404,0.1894135344,-0.04920081139,0.2572245703,freestyle
2.20911925,-0.1100451102,0.2092799612,0.01451045036,0.2368936082,freestyle
2.21915725,-0.07076015331,0.2638808955,0.06667170703,0.2812209858,freestyle
2.22919425,-0.08180028118,0.2081693557,0.1004832315,0.2451991975,freestyle
2.23923125,-0.05013907023,0.1976059952,0.1326680607,0.2432341876,freestyle
2.24926925,0.005204460472,0.2029386558,0.06049236953,0.2118266065,freestyle
2.25930625,-0.06038324587,0.1583876234,-0.01752761364,0.1704112463,freestyle
2.26934325,-0.2098820782,0.076398331,-0.1060328239,0.2472451243,freestyle
2.27938125,-0.4171128096,-0.03849689841,-0.2122252768,0.4695792535,freestyle
2.28941825,-0.3274662229,0.0322125303,-0.2332881171,0.4033548311,freestyle
2.29945525,-0.1864382518,0.06539050899,-0.2554133964,0.3229104263,freestyle
2.30949325,-0.02957616694,0.09670680732,-0.2729456878,0.2910778327,freestyle
2.31953025,0.10972651,0.1151455633,-0.2516249853,0.2976802664,freestyle
2.32956725,0.1701946136,0.1215720919,-0.1609744316,0.2639294369,freestyle
2.33960525,0.1070413955,0.1174639113,-0.08809941351,0.1817061844,freestyle
2.34964225,0.07536870942,0.1196036267,-0.04469904006,0.1482682504,freestyle
2.359679917,0.006531559154,0.07878574915,0.05822306514,0.09818238563,freestyle
2.369717917,0.01630876154,0.1084831727,0.1234756529,0.1651690387,freestyle
2.379754917,-0.06002349593,0.1268679151,0.2038450474,0.2474895781,freestyle
2.389791917,-0.2142047055,0.07425474174,0.3318914688,0.401932046,freestyle
2.399829917,-0.1863210882,0.02855034605,0.4247002298,0.4646514342,freestyle
2.409866917,-0.1253749017,-0.0210317038,0.5292952234,0.5443478961,freestyle
2.419904917,-0.001369710267,-0.001023189649,0.6412407517,0.6412430309,freestyle
2.429941917,0.1187682058,-0.01495995507,0.5976550215,0.6095253988,freestyle
2.439978917,0.1934476747,0.04816753529,0.504908241,0.5428392452,freestyle
2.450016917,0.1952544643,0.09758081988,0.4328132415,0.4847407805,freestyle
2.460053917,0.07998567089,0.1290958504,0.349627828,0.3811863904,freestyle
2.470090917,-0.04488096155,0.1347654569,0.2596871263,0.2959956632,freestyle
2.480128917,-0.1761119228,0.1250291485,0.1716140252,0.2758606006,freestyle
2.490165917,-0.1743298376,0.1207010395,0.02476003468,0.213477616,freestyle
2.500202917,-0.06872795351,0.1450950385,-0.08246503651,0.1804898447,freestyle
2.510240917,0.03069305822,0.1864051785,-0.1283452141,0.2283888097,freestyle
2.520277917,0.132151313,0.1449987421,-0.1932621717,0.2753885832,freestyle
2.530314917,0.2746459119,0.1324230989,-0.3368235952,0.4543307037,freestyle
2.540352917,0.3560604961,0.1493306884,-0.3736581302,0.5373072953,freestyle
2.550389917,0.3749712686,0.2063774765,-0.402506538,0.5875428735,freestyle
2.560426917,0.3118931872,0.2123125831,-0.4683602196,0.6014277084,freestyle
2.570464917,0.2140330166,0.1755795338,-0.5205852109,0.5896162029,freestyle
2.580501917,0.09226730883,0.1810985379,-0.6068825126,0.6400127505,freestyle
2.590538917,-0.04821065851,0.1694130236,-0.6180489403,0.6426581772,freestyle
2.600576917,-0.0998506359,0.190176724,-0.5372854435,0.5786302651,freestyle
2.610613917,-0.1252292329,0.1844198661,-0.5491061747,0.5926302716,freestyle
2.620650917,-0.1265152549,0.1409162344,-0.6015030742,0.6306103734,freestyle
2.630688917,-0.05526240058,0.1640819892,-0.6496092868,0.6722864401,freestyle
2.640725917,0.002486747727,0.1290408318,-0.6601032847,0.6726024581,freestyle
2.650762917,0.04719368152,0.1155529681,-0.5944197571,0.6073833877,freestyle
2.660800917,0.1154752732,0.09051316241,-0.4691338062,0.4915421645,freestyle
2.670837917,0.2210361537,0.04349928277,-0.3698814136,0.4330836281,freestyle
2.680875917,0.3619770013,0.07293098694,-0.2725422299,0.4589395879,freestyle
2.690912917,0.43147094,0.1212931249,-0.1829430056,0.4840943477,freestyle
2.700949917,0.3116397104,0.08812716952,-0.147065075,0.3556878455,freestyle
2.710987917,0.130441514,0.01116542274,-0.1428884089,0.1937956466,freestyle
2.721024917,-0.0003952717781,-0.05567835689,-0.1854298264,0.1936090292,freestyle
2.731061917,-0.1291709141,-0.1226861692,-0.1571123457,0.2375317038,freestyle
2.741099917,-0.1309142614,-0.1491849831,-0.1426013106,0.2443968838,freestyle
2.751136917,-0.04224174768,-0.1495424307,-0.08492262125,0.1770851643,freestyle
2.761173917,0.1207094083,-0.1427904498,-0.03392671466,0.1900286709,freestyle
2.771211917,0.2365021853,-0.2110306176,-0.05127774239,0.3210866115,freestyle
2.781248917,0.2468827473,-0.3639502904,-0.0849349004,0.4479116454,freestyle
2.791285917,0.3065715266,-0.5022825488,-0.1236621791,0.6013037455,freestyle
2.801323917,0.4387992189,-0.49353537,-0.1231990796,0.6717886045,freestyle
2.811360917,0.8264773276,-0.4257005422,-0.09994294882,0.9350263728,freestyle
2.821397917,0.9030806766,-0.5749140304,-0.02068452537,1.070751465,freestyle
2.831435917,1.00640719,-0.6262042712,0.1657931221,1.196860301,freestyle
2.841472917,1.094513255,-0.6101541028,0.2914147031,1.286534035,freestyle
2.851509917,1.03786119,-0.6187726794,0.3583863723,1.260347678,freestyle
2.861547917,0.851564514,-0.6391896947,0.348378278,1.120309338,freestyle
2.871584917,0.6327215047,-0.6470351232,0.264253217,0.9427728867,freestyle
2.881621917,0.5139102488,-0.5629402484,0.2305849493,0.7963509816,freestyle
2.891659917,0.341012175,-0.5856273355,0.2211884737,0.7128625537,freestyle
2.901696917,0.199737086,-0.6590618956,0.2129678732,0.7208417307,freestyle
2.911734917,0.2578405025,-0.5401786824,0.1816455084,0.6255156468,freestyle
2.921771917,0.2935406411,-0.4407427237,0.1004037094,0.5389815965,freestyle
2.931808917,0.2193270857,-0.3278087235,0.01061211169,0.394557406,freestyle
2.941846917,0.09061759003,-0.1669990372,-0.1063403875,0.2177349399,freestyle
2.951883917,-0.1510633646,-0.09934414825,-0.2279379147,0.2909382974,freestyle
2.961920917,-0.3575898354,-0.09974848322,-0.3528823882,0.5121974523,freestyle
2.971958917,-0.5341154852,-0.1497424055,-0.415451104,0.6930380649,freestyle
2.981995917,-0.4946421749,-0.1233260282,-0.475894357,0.6973920199,freestyle
2.992032917,-0.31101658,-0.0659051462,-0.5128300488,0.6033816871,freestyle
3.002070917,-0.1584554511,-0.04062453574,-0.5223434687,0.5473583672,freestyle
3.012107917,-0.1147801489,-0.01820459102,-0.5130089736,0.5260076964,freestyle
3.022144917,-0.1811213421,-0.01571664873,-0.4361122406,0.472488984,freestyle
3.032182917,-0.2365919401,0.02743815081,-0.362820316,0.4340128799,freestyle
3.042219917,-0.2294416724,0.1106935847,-0.2988242948,0.3926735411,freestyle
3.052256917,-0.2245977659,0.1718927182,-0.2068727356,0.3504106045,freestyle
3.062294917,-0.290055262,0.1359514458,-0.08364441991,0.331075882,freestyle
3.072331917,-0.3028052619,0.09053275972,0.1011936682,0.3318544346,freestyle
3.082368917,-0.3020271803,0.1224426144,0.2443738532,0.4073465252,freestyle
3.092406917,-0.4094650901,0.1430964967,0.2638398188,0.5076905725,freestyle
3.102443917,-0.5184442529,0.1159022479,0.2466875964,0.5857239492,freestyle
3.112480917,-0.5760083368,0.1345001395,0.2248108238,0.6327841639,freestyle
3.122518917,-0.5987021848,0.1630759575,0.2322578377,0.6625569992,freestyle
3.132555917,-0.5843590744,0.2017921813,0.2015640485,0.6502489354,freestyle
3.142592917,-0.5687840288,0.2004130789,0.1213069206,0.6151390433,freestyle
3.152630917,-0.4629162426,0.164391581,0.06163725436,0.4950910933,freestyle
3.162667917,-0.2542094547,0.1001610865,-0.007868013382,0.273343366,freestyle
3.172705917,-0.1058002875,0.05481819035,-0.08047113597,0.1437857383,freestyle
3.182742917,-0.0793273475,0.03021993397,-0.1629788572,0.1837612047,freestyle
3.192779917,-0.1135547918,0.002692011263,-0.215223729,0.2433581541,freestyle
3.202817917,-0.1949162394,-0.04179713088,-0.2902820975,0.352140649,freestyle
